,Player,Playtype,# Seasons,Season,Avg. GP,Avg. # Poss,Avg. Freq,Avg. PPP,Avg. Pts,Avg. EFG%,Avg. FT Freq,Avg. TOV Freq,Avg. SF Freq,Avg. Score Freq,Avg. Percentile
1821,Jamal Murray,pr_ballhandler,2,Playoffs,16.0,8.7,38.35,0.96,8.45,50.0,6.1,9.8,4.0,43.2,60.0
1822,Lance Stephenson,pr_ballhandler,3,Playoffs,5.0,3.5,26.57,0.95,3.0,52.0,6.7,11.9,6.7,43.5,72.0
1823,Tony Parker,pr_ballhandler,3,Playoffs,8.0,5.87,50.73,0.96,5.67,50.0,8.1,11.0,7.5,46.17,71.0
1824,Reggie Jackson,pr_ballhandler,4,Playoffs,10.0,4.85,32.8,0.96,4.53,51.0,4.7,9.0,4.7,44.38,66.0
1825,Tobias Harris,pr_ballhandler,5,Playoffs,9.0,3.1,17.08,0.84,2.62,47.0,3.9,12.7,3.5,39.98,49.0
1826,Luka Doncic,pr_ballhandler,3,Playoffs,7.0,14.2,43.5,1.01,14.43,60.0,11.9,16.8,9.9,46.17,68.0
1827,CJ McCollum,pr_ballhandler,7,Playoffs,8.0,7.53,31.41,0.88,6.59,45.0,9.9,9.6,9.3,40.63,55.0
1828,Damian Lillard,pr_ballhandler,6,Playoffs,8.0,11.43,43.73,0.9,10.4,44.0,11.2,14.3,9.6,36.7,62.0
1829,Devin Harris,pr_ballhandler,1,Playoffs,5.0,2.0,27.0,1.1,2.2,80.0,30.0,20.0,30.0,60.0,93.0
1830,Terance Mann,pr_ballhandler,2,Playoffs,16.0,0.3,10.9,0.56,0.25,25.0,5.5,50.0,5.5,27.8,0.0
1831,Joe Ingles,pr_ballhandler,5,Playoffs,9.0,2.24,23.52,0.76,1.76,55.0,1.7,29.4,1.1,32.88,32.0
1832,Delon Wright,pr_ballhandler,5,Playoffs,7.0,1.6,30.46,0.77,1.3,44.0,18.5,15.6,15.1,37.8,7.0
1833,Shaun Livingston,pr_ballhandler,4,Playoffs,20.0,0.65,10.0,0.99,0.75,53.0,8.3,6.7,5.8,50.62,44.0
1834,D.J. Augustin,pr_ballhandler,2,Playoffs,5.0,6.5,52.3,1.04,6.4,53.0,17.9,16.0,16.6,46.8,71.0
1835,Ian Clark,pr_ballhandler,3,Playoffs,14.0,1.43,23.13,0.83,1.1,46.0,5.8,15.4,3.6,35.07,54.0
1836,Ja Morant,pr_ballhandler,2,Playoffs,7.0,14.95,51.0,1.02,15.6,53.0,16.0,10.3,12.5,49.1,73.0
1837,Anfernee Simons,pr_ballhandler,3,Playoffs,5.0,1.1,29.43,0.64,0.93,19.0,17.5,4.2,4.2,30.0,0.0
1838,Kawhi Leonard,pr_ballhandler,5,Playoffs,14.0,6.34,25.98,1.07,6.84,54.0,14.1,12.3,11.6,49.68,81.0
1839,Alec Burks,pr_ballhandler,3,Playoffs,6.0,3.13,25.27,0.87,2.57,39.0,14.0,6.4,12.0,39.1,47.0
1840,Stephen Curry,pr_ballhandler,5,Playoffs,17.0,7.06,28.58,0.97,6.98,53.0,8.3,16.6,7.2,39.56,70.0
1841,Jaylen Brown,pr_ballhandler,5,Playoffs,14.0,1.66,9.48,1.02,1.62,65.0,8.5,21.2,7.6,47.46,47.0
1842,Bradley Beal,pr_ballhandler,3,Playoffs,8.0,7.13,26.37,0.98,7.13,55.0,9.0,14.9,7.9,45.93,70.0
1843,Marcus Smart,pr_ballhandler,7,Playoffs,10.0,2.59,18.84,0.64,1.73,35.0,8.2,26.6,7.0,27.13,31.0
1844,Quinn Cook,pr_ballhandler,3,Playoffs,13.0,1.13,35.83,1.02,1.27,56.0,5.7,13.7,1.6,42.4,45.0
1845,Lou Williams,pr_ballhandler,4,Playoffs,12.0,7.28,48.27,0.99,7.17,49.0,12.5,11.8,12.2,44.9,66.0
1846,Mike Conley,pr_ballhandler,4,Playoffs,6.0,7.33,45.95,0.98,7.3,50.0,11.2,11.7,7.6,42.25,65.0
1847,Kyle Lowry,pr_ballhandler,6,Playoffs,13.0,5.35,31.95,0.95,4.97,51.0,11.8,15.5,10.1,40.45,65.0
1848,Monte Morris,pr_ballhandler,4,Playoffs,12.0,4.05,39.77,0.94,4.0,48.0,9.1,7.8,7.7,44.88,60.0
1849,Iman Shumpert,pr_ballhandler,2,Playoffs,19.0,0.4,9.25,1.15,0.65,61.0,0.0,6.2,0.0,50.0,0.0
1850,Dennis Schroder,pr_ballhandler,5,Playoffs,7.0,6.82,40.92,1.01,6.82,52.0,9.3,11.0,8.4,47.78,73.0
